Artikelnr	Schlüssel	Preis	AZ	Strom	Gewicht(kg)	Photowert
-28	MG_MOCIS_DECKDL_NL3640_SX_2.0	449	0	0	3.001	
-29	MG_MOCIS_DECKDL_NL3900_SX_2.0	476	0	0	3.198	
-30	MG_MOCIS_DECKDL_NL4160_SX_2.0	510	0	0	3.395	
-31	MG_MOCIS_DEINLI_NL520_SX_2.0	76	0	0	0.603	
-32	MG_MOCIS_DEINLI_NL780_SX_2.0	106	0	0	0.758	
6149	MG_MOCIS_DEINLI_NL1040_SX_2.0	136	0	0	0.913	
6307	MG_MOCIS_DEINLI_NL1300_SX_2.0	166	0	0	1.068	
-33	MG_MOCIS_DEINDL_NL520_SX_2.0	86	0	0	0.767	
-34	MG_MOCIS_DEINDL_NL780_SX_2.0	116	0	0	0.922	
-35	MG_MOCIS_DEINDL_NL1040_SX_2.0	146	0	0	1.077	
-36	MG_MOCIS_DEINDL_NL1300_SX_2.0	176	0	0	1.232	
6713	MG_MOCIS_FENS_NL520_U_2.0	10	0	0	0.243	
-37	MG_MOCIS_FENS_NL780_U_2.0	15	0	0	0.323	
4892	MG_MOCIS_FENS_NL1040_U_2.0	15	0	0	0.403	
5759	MG_MOCIS_FENS_NL1300_U_2.0	25	0	0	0.483	
5623	MG_MOCIS_FENS_NL1560_U_2.0	25	0	0	0.563	
-38	MG_MOCIS_FENS_NL1820_U_2.0	25	0	0	0.643	
-39	MG_MOCIS_FENS_NL2080_U_2.0	25	0	0	0.723	
-40	MG_MOCIS_FENS_NL2340_U_2.0	25	0	0	0.803	
-41	MG_MOCIS_FENS_NL2600_U_2.0	25	0	0	0.883	
-42	MG_MOCIS_FENS_NL2860_U_2.0	25	0	0	0.963	
-43	MG_MOCIS_FENS_NL3120_U_2.0	25	0	0	1.043	
-44	MG_MOCIS_FENS_NL3380_U_2.0	25	0	0	1.123	
-45	MG_MOCIS_FENS_NL3640_U_2.0	25	0	0	1.203	
-46	MG_MOCIS_FENS_NL3900_U_2.0	25	0	0	1.283	
5435	MG_MOCIS_FENS_NL4160_U_2.0	25	0	0	1.363	
4844	MG_MOCIS_FENSDL_NL520_U_2.0	15	0	0	0.257	
-47	MG_MOCIS_FENSDL_NL780_U_2.0	20	0	0	0.344	
4797	MG_MOCIS_FENSDL_NL1040_U_2.0	25	0	0	0.431	
7206	MG_MOCIS_FENSDL_NL1300_U_2.0	25	0	0	0.518	
6503	MG_MOCIS_FENSDL_NL1560_U_2.0	25	0	0	0.605	
-48	MG_MOCIS_FENSDL_NL1820_U_2.0	25	0	0	0.692	
-49	MG_MOCIS_FENSDL_NL2080_U_2.0	25	0	0	0.779	
-50	MG_MOCIS_FENSDL_NL2340_U_2.0	25	0	0	0.866	
-51	MG_MOCIS_FENSDL_NL2600_U_2.0	25	0	0	0.953	
-52	MG_MOCIS_FENSDL_NL2860_U_2.0	25	0	0	1.04	
-53	MG_MOCIS_FENSDL_NL3120_U_2.0	25	0	0	1.127	
-54	MG_MOCIS_FENSDL_NL3380_U_2.0	25	0	0	1.214	
-55	MG_MOCIS_FENSDL_NL3640_U_2.0	25	0	0	1.301	
-56	MG_MOCIS_FENSDL_NL3900_U_2.0	25	0	0	1.388	
-57	MG_MOCIS_FENSDL_NL4160_U_2.0	25	0	0	1.475	
-80	MG_MOCIS_FEINLI_NL520_U_2.0	31.25	0	0	0.102	
-81	MG_MOCIS_FEINLI_NL780_U_2.0	31.25	0	0	0.139	
6150	MG_MOCIS_FEINLI_NL1040_U_2.0	31.25	0	0	0.176	
6311	MG_MOCIS_FEINLI_NL1300_U_2.0	31.25	0	0	0.213	
-58	MG_MOCIS_FEINDL_NL520_U_2.0	31.25	0	0	0.16	
-59	MG_MOCIS_FEINDL_NL780_U_2.0	36.25	0	0	0.219	
-60	MG_MOCIS_FEINDL_NL1040_U_2.0	36.25	0	0	0.278	
-61	MG_MOCIS_FEINDL_NL1300_U_2.0	36.25	0	0	0.337	
6480	MG_MOCIS_LHS_NL520_SX_2.0	32.42	0	0	0.297	
-62	MG_MOCIS_LHS_NL780_SX_2.0	37.1	0	0	0.398	
4890	MG_MOCIS_LHS_NL1040_SX_2.0	40.24	0	0	0.499	
5757	MG_MOCIS_LHS_NL1300_SX_2.0	41.8	0	0	0.6	
5621	MG_MOCIS_LHS_NL1560_SX_2.0	45.13	0	0	0.701	
-63	MG_MOCIS_LHS_NL1820_SX_2.0	48.73	0	0	0.802	
-64	MG_MOCIS_LHS_NL2080_SX_2.0	52.4	0	0	0.903	
-65	MG_MOCIS_LHS_NL2340_SX_2.0	56.23	0	0	1.004	
-66	MG_MOCIS_LHS_NL2600_SX_2.0	58.6	0	0	1.105	
-67	MG_MOCIS_LHS_NL2860_SX_2.0	62.43	0	0	1.21	
-68	MG_MOCIS_LHS_NL3120_SX_2.0	66.1	0	0	1.315	
-69	MG_MOCIS_LHS_NL3380_SX_2.0	69.95	0	0	1.416	
-70	MG_MOCIS_LHS_NL3640_SX_2.0	73.6	0	0	1.517	
-71	MG_MOCIS_LHS_NL3900_SX_2.0	77.4	0	0	1.618	
-72	MG_MOCIS_LHS_NL4160_SX_2.0	81.3	0	0	1.719	
4884	MG_MOCIS_UPS_STD_SX_2.0	28.4	0	0	0.896	
4790	MG_MOCIS_UPSDL_STD_SX_2.0	59	0	0	0.804	
4887	MG_MOCIS_UNPS_STD_SX_2.0	27.38	0	0	0.897	
4795	MG_MOCIS_UNPSDL_STD_SX_2.0	34.25	0	0	0.805	
4886	MG_MOCIS_UFPGA_STD_SX_2.0	36.6	0	0	1.593	
4792	MG_MOCIS_UFPGADL_STD_SX_2.0	40.5	0	0	1.424	
4789	MG_MOCIS_CALIBL_STD_SX_1.0	24.8	0	0	0.035	
4885	MG_MOCIS_U_STD_SX_2.0	29.9	0	0	1.664	
4791	MG_MOCIS_UDL_STD_SX_2.0	39.05	0	0	1.495	
4801	MG_MOCIS_LIKLO_STD_SX_1.0	5.2	0	0	0.015	
4377	MG_MOCIS_PF1000_STD_U_1.0	9.6	0	0	0.065	
5014	MG_MOCIS_HAVBS_STD_SX_1.1	9.6	0	0	0.021	
5012	MG_MOCIS_VBSADC2_STD_SX_1.2	3.95	0	0	0.009	
4619	MG_MOCIS_VBSADC_STD_SX_1.1	3.95	0	0	0.01	
5397	MG_MOCIS_UNSE2_STD_SX_1.1	2.7	0	0	0.003	
5396	MG_MOCIS_UNSE_STD_SX_1.1	2.7	0	0	0.003	
6714	MG_MOCIS_TLAB_NL520_SX_2.0	46.7	0	0	0.597	
-73	MG_MOCIS_TLAB_NL780_SX_2.0	58.27	0	0	0.801	
5321	MG_MOCIS_TLAB_NL1040_SX_2.0	60.87	0	0	1.005	
5920	MG_MOCIS_TLAB_NL1300_SX_2.0	63.45	0	0	1.209	
5625	MG_MOCIS_TLAB_NL1560_SX_2.0	67.9	0	0	1.413	
-74	MG_MOCIS_TLAB_NL1820_SX_2.0	72.6	0	0	1.617	
-75	MG_MOCIS_TLAB_NL2080_SX_2.0	77.2	0	0	1.821	
-76	MG_MOCIS_TLAB_NL2340_SX_2.0	81.75	0	0	2.025	
-77	MG_MOCIS_TLAB_NL2600_SX_2.0	86.3	0	0	2.229	
-78	MG_MOCIS_TLAB_NL2860_SX_2.0	90.8	0	0	2.433	
-79	MG_MOCIS_TLAB_NL3120_SX_2.0	95.45	0	0	2.637	
-80	MG_MOCIS_TLAB_NL3380_SX_2.0	100	0	0	2.841	
-81	MG_MOCIS_TLAB_NL3640_SX_2.0	104.6	0	0	3.045	
-82	MG_MOCIS_TLAB_NL3900_SX_2.0	109.2	0	0	3.249	
-83	MG_MOCIS_TLAB_NL4160_SX_2.0	113.75	0	0	3.453	
4787	MG_MOCIS_LEDHA_STD_SX_2.0	25	0	0	0.44	
4370	MG_MOCIS_LEDHADL_STD_SX_2.0	39	0	0	0.141	
4371	MG_MOCIS_GLAHA_STD_SX_1.0	12.7	0	0	0.035	
4788	MG_MOCIS_HAGLAHA_STD_SX_2.0	4.95	0	0	0.002	
4800	MG_MOCIS_LIAB_STD_SX_2.0	14.7	0	0	0.088	
4841	MG_MOCIS_UNBEL_NL520_SX_1.0	27.35	0	0	0.208	
-84	MG_MOCIS_UNBEL_NL780_SX_1.0	28.45	0	0	0.275	
4369	MG_MOCIS_UNBEL_NL1040_SX_1.0	28.75	0	0	0.342	
4658	MG_MOCIS_UNBEL_NL1300_SX_1.0	54.88	0	0	0.41	
6504	MG_MOCIS_UNBEL_NL1560_SX_1.0	60	0	0	0.477	
-85	MG_MOCIS_UNBEL_NL1820_SX_1.0	62.5	0	0	0.544	
-86	MG_MOCIS_UNBEL_NL2080_SX_1.0	66.25	0	0	0.611	
-87	MG_MOCIS_UNBEL_NL2340_SX_1.0	67.35	0	0	0.678	
-88	MG_MOCIS_UNBEL_NL2600_SX_1.0	70.75	0	0	0.745	
-89	MG_MOCIS_UNBEL_NL2860_SX_1.0	71.6	0	0	0.812	
-90	MG_MOCIS_UNBEL_NL3120_SX_1.0	74.75	0	0	0.879	
-91	MG_MOCIS_UNBEL_NL3380_SX_1.0	75.85	0	0	0.946	
-92	MG_MOCIS_UNBEL_NL3640_SX_1.0	80.95	0	0	1.013	
-93	MG_MOCIS_UNBEL_NL3900_SX_1.0	82.1	0	0	1.08	
-94	MG_MOCIS_UNBEL_NL4160_SX_1.0	87.2	0	0	1.147	
4845	MG_MOCIS_BELU_NL520_SX_2.0	328	0	0	0.709	
-95	MG_MOCIS_BELU_NL780_SX_2.0	330	0	0	0.943	
4799	MG_MOCIS_BELU_NL1040_SX_2.0	391.65	0	0	1.177	
7242	MG_MOCIS_BELU_NL1300_SX_2.0	393.9	0	0	1.411	
6505	MG_MOCIS_BELU_NL1560_SX_2.0	401.2	0	0	1.645	
-96	MG_MOCIS_BELU_NL1820_SX_2.0	403.45	0	0	1.879	
-97	MG_MOCIS_BELU_NL2080_SX_2.0	410.7	0	0	2.113	
-98	MG_MOCIS_BELU_NL2340_SX_2.0	413	0	0	2.347	
-99	MG_MOCIS_BELU_NL2600_SX_2.0	420.25	0	0	2.581	
-100	MG_MOCIS_BELU_NL2860_SX_2.0	422.5	0	0	2.815	
-101	MG_MOCIS_BELU_NL3120_SX_2.0	430	0	0	3.049	
-102	MG_MOCIS_BELU_NL3380_SX_2.0	432	0	0	3.283	
-103	MG_MOCIS_BELU_NL3640_SX_2.0	441.55	0	0	3.517	
-104	MG_MOCIS_BELU_NL3900_SX_2.0	443.8	0	0	3.751	
-105	MG_MOCIS_BELU_NL4160_SX_2.0	448.65	0	0	3.985	
-106	MG_MOCIS_UEINLI_NL520_SX_2.0	107.5	0	0	0.768	
-107	MG_MOCIS_UEINLI_NL780_SX_2.0	115.9	0	0	1.069	
6152	MG_MOCIS_UEINLI_NL1040_SX_2.0	129.7	0	0	1.37	
